user_id,signup_date,tier,country,age_group,preferred_genre,skip_tendency
user_0000054,2023-08-30,free,UK,18-24,hip-hop,0.4254532299158062
user_0000055,2023-12-12,free,UK,18-24,electronic,0.09209186714180409
user_0000056,2024-07-18,family,BR,55+,rock,0.4028114435198871
user_0000057,2023-12-06,family,DE,35-44,pop,0.30397847592619903
user_0000058,2023-04-02,free,MX,18-24,r&b,0.63651317930367
user_0000059,2024-01-02,premium,FR,25-34,country,0.269491183681
user_0000060,2024-03-30,free,US,25-34,r&b,0.4022010012372525
user_0000061,2024-03-03,free,FR,35-44,jazz,0.18067081718254968
user_0000062,2024-05-23,free,US,25-34,pop,0.05522174954799042
user_0000063,2023-02-04,free,JP,18-24,r&b,0.30988117926471553
user_0000064,2023-07-25,family,FR,18-24,r&b,0.1571447365975478
user_0000065,2023-03-22,free,AU,25-34,indie,0.30712006747544063
user_0000066,2024-07-15,premium,AU,35-44,hip-hop,0.27894108660546246
user_0000067,2024-01-23,premium,CA,18-24,indie,0.23546684340800722
user_0000068,2023-01-02,free,DE,45-54,pop,0.6139521825767011
user_0000069,2024-01-25,student,US,25-34,pop,0.31792609207717915
user_0000070,2024-07-19,student,US,18-24,electronic,0.7420113638627851
user_0000071,2023-04-16,free,DE,18-24,indie,0.15474403562590625
user_0000072,2024-04-21,free,BR,18-24,classical,0.06741488922678608
user_0000073,2024-12-03,free,CA,55+,hip-hop,0.5200478075512901
user_0000074,2024-02-06,free,BR,35-44,pop,0.29261067859090134
user_0000075,2024-12-30,free,BR,25-34,electronic,0.473788008340505
user_0000076,2024-07-09,premium,BR,35-44,indie,0.38016424724474907
user_0000077,2023-06-11,premium,DE,25-34,hip-hop,0.12262110878674372
user_0000078,2023-07-21,free,BR,35-44,indie,0.5329132181812516
user_0000079,2023-09-27,free,AU,18-24,r&b,0.4588802825133572
user_0000080,2023-09-28,family,UK,25-34,electronic,0.22010513443978916
user_0000081,2024-03-31,free,JP,18-24,hip-hop,0.582475396733237
user_0000082,2024-04-06,free,US,18-24,metal,0.2621970598110122
user_0000083,2024-12-27,free,US,25-34,jazz,0.3744600510193044
user_0000084,2023-09-09,student,JP,18-24,jazz,0.25537047579657707
user_0000085,2024-12-02,free,DE,18-24,hip-hop,0.1380130920284679
user_0000086,2023-10-23,premium,FR,25-34,indie,0.03919420675048768
user_0000087,2024-12-25,premium,DE,55+,electronic,0.22477676597248586
user_0000088,2024-12-20,free,US,18-24,jazz,0.2919551719278319
user_0000089,2023-12-04,premium,US,18-24,electronic,0.5306878053979491
user_0000090,2023-02-22,free,JP,35-44,jazz,0.5063036113718986
user_0000091,2023-08-05,premium,BR,45-54,r&b,0.4529093307707003
user_0000092,2023-07-07,premium,DE,25-34,indie,0.4120285025196441
user_0000093,2024-01-15,premium,MX,25-34,r&b,0.19447586331014416
user_0000094,2024-05-07,free,JP,35-44,jazz,0.12064037760997691
user_0000095,2023-02-10,family,AU,18-24,metal,0.475126691429919
user_0000096,2023-06-06,free,US,55+,metal,0.1687029411561057
user_0000097,2023-01-15,free,JP,45-54,r&b,0.502885423359527
user_0000098,2023-03-06,free,DE,25-34,metal,0.29745945716066635
user_0000099,2024-06-04,premium,US,18-24,jazz,0.4618895217562559
